PIXEL,Wavelength
a. u.,nm
855,846.287910039529
856,846.737193519424
857,847.186458858803
858,847.635706106725
859,848.084935312248
860,848.534146524432
861,848.983339792333
862,849.432515165011
863,849.881672691524
864,850.33081242093
865,850.779934402288
866,851.229038684656
867,851.678125317093
868,852.127194348655
869,852.576245828403
870,853.025279805395
871,853.474296328688
872,853.923295447341
873,854.372277210412
874,854.821241666961
875,855.270188866045
876,855.719118856722
877,856.168031688051
878,856.616927409091
879,857.0658060689
880,857.514667716535
881,857.963512401055
882,858.41234017152
883,858.861151076986
884,859.309945166513
885,859.758722489159
886,860.207483093982
887,860.65622703004
888,861.104954346392
889,861.553665092097
890,862.002359316213
891,862.451037067797
892,862.899698395908
893,863.348343349605
894,863.796971977947
895,864.24558432999
896,864.694180454795
897,865.142760401418
898,865.591324218919
899,866.039871956356
900,866.488403662788
901,866.936919387272
902,867.385419178866
903,867.833903086631
904,868.282371159622
905,868.7308234469
906,869.179259997522
907,869.627680860547
908,870.076086085032
909,870.524475720037
910,870.972849814621
911,871.42120841784
912,871.869551578754
913,872.317879346421
914,872.766191769899
915,873.214488898246
916,873.662770780523
917,874.111037465784
918,874.559289003091
919,875.007525441501
920,875.455746830072
921,875.903953217863
922,876.352144653933
923,876.800321187338
924,877.248482867138
925,877.696629742392
926,878.144761862157
927,878.592879275493
928,879.040982031456
929,879.489070179106
930,879.937143767501
931,880.3852028457
932,880.833247462761
933,881.281277667741
934,881.7292935097
935,882.177295037695
936,882.625282300787
937,883.073255348031
938,883.521214228488
939,883.969158991214
940,884.41708968527
941,884.865006359712
942,885.3129090636
943,885.760797845991
944,886.208672755944
945,886.656533842518
946,887.10438115477
947,887.55221474176
948,888.000034652545
949,888.447840936185
950,888.895633641736
951,889.343412818259
952,889.791178514809
953,890.238930780448
954,890.686669664231
955,891.13439521522
956,891.58210748247
957,892.029806515041
958,892.477492361991
959,892.925165072378
960,893.372824695262
961,893.820471279699
962,894.26810487475
963,894.715725529471
964,895.163333292922
965,895.610928214159
966,896.058510342243
967,896.506079726232
968,896.953636415182
969,897.401180458155
970,897.848711904206
971,898.296230802396
972,898.743737201781
973,899.191231151421
974,899.638712700374
975,900.086181897698
976,900.533638792452
977,900.981083433693
978,901.428515870482
979,901.875936151875
980,902.323344326931
981,902.770740444708
982,903.218124554264
983,903.665496704659
984,904.11285694495
985,904.560205324197
986,905.007541891457
987,905.454866695788
988,905.902179786248
989,906.349481211898
990,906.796771021794
991,907.244049264995
992,907.691315990559
993,908.138571247545
994,908.585815085011
995,909.033047552015
996,909.480268697616
997,909.927478570872
998,910.374677220843
999,910.821864696584
1000,911.269041047157
1001,911.716206321617
1002,912.16336078997
1003,912.610503838435
1004,913.057636178915
1005,913.504757639513
1006,913.951868269294
1007,914.39896811731
1008,914.846057232624
1009,915.293135664297
1010,915.740203461379
1011,916.187260672934
1012,916.634307348024
1013,917.081343535699
1014,917.528369285021
1015,917.975384645052
1016,918.422389664844
1017,918.869384393458
1018,919.316368879956
1019,919.76334317339
1020,920.210307322821
1021,920.657261377312
1022,921.104205385913
1023,921.551139397687
1024,921.998063461695
1025,922.444975859576
1026,922.891789954272
1027,923.338604048969
1028,923.785418143665
1029,924.232232238362
1030,924.679046333058
1031,925.125860427755
1032,925.572674522451
1033,926.019488617148
1034,926.466302711844
1035,926.913116806541
1036,927.359930901238
1037,927.806744995934
1038,928.253559090631
1039,928.700373185327
1040,929.147187280023
1041,929.59400137472
1042,930.040815469416
1043,930.487629564113
1044,930.93444365881
1045,931.381257753506
